CVE,commit_file_location,git_repo_location,work_dir
CVE-2024-23170,/path/to/commit_info/Mbed-TLS@@mbedtls/CVE-2024-23170_aa6760d7b5d9a218eaf072f4155974f58b00986b.diff,/path/to/signature/repo/Mbed-TLS@@mbedtls,/path/to/work
CVE-2023-4755,/path/to/commit_info/gpac@@gpac/CVE-2023-4755_895ac12da168435eb8db3f96978ffa4c69d66c3a.diff,/path/to/signature/repo/gpac@@gpac,/path/to/work
CVE-2023-51779,/path/to/commit_info/torvalds@@linux/CVE-2023-51779_2e07e8348ea454615e268222ae3fc240421be768.diff,/path/to/signature/repo/torvalds@@linux,/path/to/work
CVE-2023-48698,/path/to/commit_info/azure-rtos@@usbx/CVE-2023-48698_5f758e08fe6661ee5330a764abdf6b3c5a55938f.diff,/path/to/signature/repo/azure-rtos@@usbx,/path/to/work
CVE-2024-32985,/path/to/commit_info/stellar@@stellar-core/CVE-2024-32985_97138128b4fc02cf296a07acc5d7145557a27782.diff,/path/to/signature/repo/stellar@@stellar-core,/path/to/work
CVE-2023-41359,/path/to/commit_info/FRRouting@@frr/CVE-2023-41359_f96201e104892e18493f24cf67bb713678e8237b.diff,/path/to/signature/repo/FRRouting@@frr,/path/to/work
CVE-2024-6874,/path/to/commit_info/curl@@curl/CVE-2024-6874_686d54baf1df6e0775.diff,/path/to/signature/repo/curl@@curl,/path/to/work
CVE-2023-52556,/path/to/commit_info/openbsd@@src/CVE-2023-52556_9d9f4dc6c833cb79d13f836581e3a781d06842e7.diff,/path/to/signature/repo/openbsd@@src,/path/to/work
CVE-2023-31555,/path/to/commit_info/podofo@@podofo/CVE-2023-31555_3759eb6aae7c01f2d8670f16ac46f5e116c7f468.diff,/path/to/signature/repo/podofo@@podofo,/path/to/work
CVE-2024-39894,/path/to/commit_info/openssh@@openssh-portable/CVE-2024-39894_146c420d29d055cc75c8606327a1cf8439fe3a08.diff,/path/to/signature/repo/openssh@@openssh-portable,/path/to/work
CVE-2023-34188,/path/to/commit_info/cesanta@@mongoose/CVE-2023-34188_4663090a8fb036146dfe77718cff612b0101cb0f.diff,/path/to/signature/repo/cesanta@@mongoose,/path/to/work
CVE-2023-47804,/path/to/commit_info/apache@@openoffice/CVE-2023-47804_f8c074b1219af2a7160e5b8f8157fac1a2076a93.diff,/path/to/signature/repo/apache@@openoffice,/path/to/work
CVE-2023-5184,/path/to/commit_info/zephyrproject-rtos@@zephyr/CVE-2023-5184_eeea26d20651e7f91de5e7d216a5398551d164da.diff,/path/to/signature/repo/zephyrproject-rtos@@zephyr,/path/to/work
CVE-2024-32662,/path/to/commit_info/FreeRDP@@FreeRDP/CVE-2024-32662_626d10a94a88565d957ddc30768ed08b320049a7.diff,/path/to/signature/repo/FreeRDP@@FreeRDP,/path/to/work
CVE-2024-34161,/path/to/commit_info/nginx@@nginx/CVE-2024-34161_0e7702e06655e3b439be8fbcd57bc91539912c2f.diff,/path/to/signature/repo/nginx@@nginx,/path/to/work
